RA	Nome	Unidade	Semestre	Turma
20417059	COLDPLAY	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20758621	COLIN CREEVEY    	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20564624	COOKIE KWAN	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20721444	CORUJAO (URSINHO PUFF)	CIÊNCIA DA COMPUTAÇÃO	7	CCOMP2N07A
20746753	CRAZY CAT LADY	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20584185	CURTIS MAYFIELD	CIÊNCIA DA COMPUTAÇÃO	6	CCOMVON06A
20758902	CYRUS SIMPSON	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20551113	DAENERYS TARGARYEN	CIÊNCIA DA COMPUTAÇÃO	8	ASSIGNAR
20885229	DAFFY DUCK	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20551365	DARLENE LOVE	CIÊNCIA DA COMPUTAÇÃO	8	CCOMP2N08A
20593513	DAVID BECKHAM	CIÊNCIA DA COMPUTAÇÃO	6	ASSIGNAR
20912563	DAVID GUETTA	CIÊNCIA DA COMPUTAÇÃO	1	CCOMPAM01A
20404293	DAVID LETTERMAN	CIÊNCIA DA COMPUTAÇÃO	8	CCOMVON08A
20574064	DAVID RUFFIN	CIÊNCIA DA COMPUTAÇÃO	6	CCOMVON06A
20108187	DEAN THOMAS (DINO THOMAS NO 	CIÊNCIA DA COMPUTAÇÃO	8	ASSIGNAR
20738117	DEMELZA ROBINS    	CIÊNCIA DA COMPUTAÇÃO	3	CCOMPAM03A
20754936	DILYS DERWENT    	CIÊNCIA DA COMPUTAÇÃO	6	CCOMP2N06A
20875703	DINO (DANONINHO)	CIÊNCIA DA COMPUTAÇÃO	2	CCOMP2N02A
20902917	DOLLY PARTON	CIÊNCIA DA COMPUTAÇÃO	1	CCOMPAM01A
20731964	DOLORES JANE UMBRIDGE   	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20532195	DOLPH (OS SIMPSONS)	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20779660	DONALD TRUMP	CIÊNCIA DA COMPUTAÇÃO	2	CCOMP2N02A
20517534	DONNY HATHAWAY	CIÊNCIA DA COMPUTAÇÃO	6	CCOMP2N06A
20643477	DR DRE	CIÊNCIA DA COMPUTAÇÃO	4	CCOMPAM04A
20867554	DR. NICK RIVIERA	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20677729	DRACO LUCIO MALFOY   	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20910414	DROOPY	CIÊNCIA DA COMPUTAÇÃO	1	CCOMVON01A
20767223	DUCK DODGERS	CIÊNCIA DA COMPUTAÇÃO	1	CCOMVON01A
20311644	EDDARD STARK	CIÊNCIA DA COMPUTAÇÃO	6	CCOMP2N06A
20763799	EDWARD MARS 	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20848121	ELTON JOHN	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20545413	ELVIS PRESLEY	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20750429	EMILIA (PERSONAGEM)	CIÊNCIA DA COMPUTAÇÃO	3	CCOMPAM03A
20699695	ESPETO (MANDA-CHUVA)	CIÊNCIA DA COMPUTAÇÃO	4	CCOMPAM04A
20662992	FA MULAN	CIÊNCIA DA COMPUTAÇÃO	4	CCOMVON04A
20682104	FLOYD MAYWEATHER	CIÊNCIA DA COMPUTAÇÃO	4	CCOMVON04A
20887408	FOGHORN LEGHORN	CIÊNCIA DA COMPUTAÇÃO	2	CCOMP2N02A
20441043	FRANKIE STEIN	CIÊNCIA DA COMPUTAÇÃO	6	CCOMPAM06A
20853967	FRED FLINTSTONE	CIÊNCIA DA COMPUTAÇÃO	1	CCOMPAM01A
20640530	GALATEIA MERRYTHOUGHT    	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20056604	GEAR	CIÊNCIA DA COMPUTAÇÃO	8	CCOMVON08A
20900250	GENIO (MANDA-CHUVA)	CIÊNCIA DA COMPUTAÇÃO	1	CCOMPAM01A
20898284	GEORGE JONES	CIÊNCIA DA COMPUTAÇÃO	1	CCOMVON01A
20746724	GEORGE LOPEZ	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20359448	GINORMICA	CIÊNCIA DA COMPUTAÇÃO	8	CCOMP2N08A
20913405	GLADYS KNIGHT	CIÊNCIA DA COMPUTAÇÃO	1	CCOMPAM01A
20687136	GORPO	CIÊNCIA DA COMPUTAÇÃO	2	CCOMP2N02A
20887766	GOSALYN MALLARD	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20471100	GOSSAMER	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20646005	GUGU (PERSONAGEM)	CIÊNCIA DA COMPUTAÇÃO	4	CCOMPAM04A
20642232	GWYNETH PALTROW	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20257451	HADJI	CIÊNCIA DA COMPUTAÇÃO	7	CCOMP2N07A
20331497	HAY LIN	CIÊNCIA DA COMPUTAÇÃO	7	CCOMP2N07A
20668141	HECKLE AND JECKLE	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20805744	HE-MAN	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20846635	HOMEM RADIOATIVO (OS SIMPSONS)	CIÊNCIA DA COMPUTAÇÃO	2	CCOMP2N02A
20862272	HOMEM-BISCOITO (SHREK)	CIÊNCIA DA COMPUTAÇÃO	1	CCOMP2N01A
20661123	HORACE GOODSPEED 	CIÊNCIA DA COMPUTAÇÃO	2	CCOMP2N02A
20644984	HOWARD STERN	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20873833	HOWLIN' WOLF	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20562797	HUGH JACKMAN	CIÊNCIA DA COMPUTAÇÃO	6	CCOMP2N06A
20445921	IGGY POP	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20853375	INSPETOR WILLOUGHBY	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20904534	J K ROWLING	CIÊNCIA DA COMPUTAÇÃO	1	CCOMVON01A
20570081	JAE LEE 	CIÊNCIA DA COMPUTAÇÃO	6	CCOMVON06A
20591262	JAIME LANNISTER	CIÊNCIA DA COMPUTAÇÃO	6	CCOMVON06A
20891101	JAMES BROWN	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20866611	JAMES PATTERSON	CIÊNCIA DA COMPUTAÇÃO	2	CCOMP2N02A
20237026	JAMES TAYLOR	CIÊNCIA DA COMPUTAÇÃO	4	CCOMVON04A
20214571	JANEY HAGSTROM	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20774371	JANIS JOPLIN	CIÊNCIA DA COMPUTAÇÃO	1	CCOMVON01A
20774552	JASMINE (PERSONAGEM)	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20854186	JEFF BUCKLEY	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20804786	JENNIFER LAWRENCE	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20558107	JENNIFER LOPEZ	CIÊNCIA DA COMPUTAÇÃO	6	CCOMVON06A
20745989	JEONG JEONG	CIÊNCIA DA COMPUTAÇÃO	1	CCOMP2N01A
20761959	JEOR MORMONT	CIÊNCIA DA COMPUTAÇÃO	1	CCOMP2N01A
20274693	JERRY BRUCKHEIMER	CIÊNCIA DA COMPUTAÇÃO	8	ASSIGNAR
20911135	JERRY LEE LEWIS	CIÊNCIA DA COMPUTAÇÃO	1	CCOMP2N01A
20327011	JIMMY NEUTRON (PERSONAGEM)	CIÊNCIA DA COMPUTAÇÃO	8	CCOMP2N08A
20883826	JOE QUIMBY	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20560834	JOFFREY BARATHEON	CIÊNCIA DA COMPUTAÇÃO	6	CCOMVON06A
20331582	JOHAN E PEEWIT	CIÊNCIA DA COMPUTAÇÃO	8	CCOMVON08A
20843988	JOHN FOGERTY	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20571016	JOHN LEE HOOKER	CIÊNCIA DA COMPUTAÇÃO	6	CCOMP2N06A
20791169	JOHN LENNON	CIÊNCIA DA COMPUTAÇÃO	2	CCOMP2N02A
20855609	JOHNNY TEST (PERSONAGEM)	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20759983	JON STEWART	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20678183	JONI MITCHELL	CIÊNCIA DA COMPUTAÇÃO	4	CCOMPAM04A
20522644	JORAH MORMONT	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
9113387	JOSS WHEDON	CIÊNCIA DA COMPUTAÇÃO	8	CCOMVON08A
20642054	JUSTINE DANCER	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20761310	KAREN DEGROOT 	CIÊNCIA DA COMPUTAÇÃO	2	CCOMP2N02A
20887663	KATY PERRY	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20867904	KELVIN JOE INMAN	CIÊNCIA DA COMPUTAÇÃO	2	CCOMP2N02A
20639422	KEN (BONECO)	CIÊNCIA DA COMPUTAÇÃO	4	CCOMVON04A
20852566	KENNY CHESNEY	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20056222	KEVIN HART	CIÊNCIA DA COMPUTAÇÃO	1	CCOMPAM01A
20096779	KIM KARDASHIAN	CIÊNCIA DA COMPUTAÇÃO	6	CCOMVON06A
20731361	KING K. ROOL	CIÊNCIA DA COMPUTAÇÃO	4	CCOMPAM04A
20886343	KNOTHEAD & SPLINTER	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20787294	KURT COBAIN	CIÊNCIA DA COMPUTAÇÃO	2	CCOMP2N02A
20680814	LEBRON JAMES	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20903101	LESLIE ARZT 	CIÊNCIA DA COMPUTAÇÃO	1	CCOMP2N01A
20885877	LEVON HELM	CIÊNCIA DA COMPUTAÇÃO	2	CCOMP2N02A
20193712	LIONEL MESSI	CIÊNCIA DA COMPUTAÇÃO	8	ASSIGNAR
20771354	LOBO MAU	CIÊNCIA DA COMPUTAÇÃO	2	CCOMP2N02A
20903774	LOMMY MAOS VERDES	CIÊNCIA DA COMPUTAÇÃO	1	CCOMVON01A
9110035	LUCIO MALFOY    	CIÊNCIA DA COMPUTAÇÃO	8	ASSIGNAR
10124782	LUIGI (PERSONAGEM)	CIÊNCIA DA COMPUTAÇÃO	8	ASSIGNARAC
20700650	LUPINA	CIÊNCIA DA COMPUTAÇÃO	2	CCOMP2N02A
20290857	MADBALLS	CIÊNCIA DA COMPUTAÇÃO	6	CCOMPAM06A
20477824	MADELINE HATTER	CIÊNCIA DA COMPUTAÇÃO	6	CCOMP2N06A
20652260	MADONNA	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20474891	MAGALI	CIÊNCIA DA COMPUTAÇÃO	7	CCOMP2N07A
20652060	MAGGIE SIMPSON	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20668412	MAI (AVATAR: THE LAST AIRBENDER)	CIÊNCIA DA COMPUTAÇÃO	1	CCOMVON01A
20574016	MALIBU STACY (OS SIMPSONS)	CIÊNCIA DA COMPUTAÇÃO	6	CCOMVON06A
20885672	MANNY PACQUIAO	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20898756	MARC ANTONY AND PUSSYFOOT	CIÊNCIA DA COMPUTAÇÃO	1	CCOMVON01A
20846063	MARGE SIMPSON	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20635086	MARIA SHARAPOVA	CIÊNCIA DA COMPUTAÇÃO	6	CCOMP2N06A
20876142	MARIAH CAREY	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20696992	MARIO (PERSONAGEM)	CIÊNCIA DA COMPUTAÇÃO	4	CCOMVON04A
20555454	MARK BURNETT (THE BIBLE)	CIÊNCIA DA COMPUTAÇÃO	6	CCOMVON06A
20894742	MARSUPILAMUS FANTASII	CIÊNCIA DA COMPUTAÇÃO	1	CCOMP2N01A
20751761	MARVIN GAYE	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20755767	MARVIN, O MARCIANO	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20774545	MATTHEW ABADDON 	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20655654	MAVIS STAPLES	CIÊNCIA DA COMPUTAÇÃO	4	CCOMVON04A
20856178	MEANY RANHETA	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20201093	MEENA	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20876707	MEGA MAN 	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20765240	MEGARA	CIÊNCIA DA COMPUTAÇÃO	2	CCOMP2N02A
20665197	MEISTRE AEMON	CIÊNCIA DA COMPUTAÇÃO	4	CCOMVON04A
20257443	MENTOR (MASTERS OF THE UNIVERSE)	CIÊNCIA DA COMPUTAÇÃO	8	ASSIGNAR
20827834	MICHAEL BAY	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20712853	MICHAEL D'AMICO	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20470095	MITHU	CIÊNCIA DA COMPUTAÇÃO	7	CCOMP2N07A
20869608	MIYAMOTO USAGI	CIÊNCIA DA COMPUTAÇÃO	4	CCOMPAM04A
20909372	MONICA	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20857069	MONSIEUR DELACOUR    	CIÊNCIA DA COMPUTAÇÃO	6	CCOMP2N06A
20772953	MONTGOMERY BURNS	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20514382	MORRISSEY 	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20912763	MULHER GORDA    	CIÊNCIA DA COMPUTAÇÃO	4	CCOMVON04A
20902720	MUTTLEY	CIÊNCIA DA COMPUTAÇÃO	4	CCOMVON04A
20903998	NADIA  	CIÊNCIA DA COMPUTAÇÃO	1	CCOMVON01A
20723625	NATALIA MCDONALD    	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20871626	NEIL PATRICK HARRIS	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20565270	OFFICER DIBBLE	CIÊNCIA DA COMPUTAÇÃO	3	CCOMPAM03A
20230718	OGG     	CIÊNCIA DA COMPUTAÇÃO	6	CCOMP2N06A
20866893	OLIMPIA MAXIME    	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20747841	OLIVIA PALITO	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20733091	OPRAH WINFREY	CIÊNCIA DA COMPUTAÇÃO	6	CCOMVON06A
20717393	OSWALD THE LUCKY RABBIT	CIÊNCIA DA COMPUTAÇÃO	1	CCOMP2N01A
20324578	OTIS REDDING	CIÊNCIA DA COMPUTAÇÃO	6	CCOMP2N06A
20546658	OTTO ROCKET	CIÊNCIA DA COMPUTAÇÃO	6	CCOMVON06A
20538617	OZZIE	CIÊNCIA DA COMPUTAÇÃO	4	CCOMPAM04A
20608551	PAC-MAN 	CIÊNCIA DA COMPUTAÇÃO	6	CCOMP2N06A
20203141	PAPAI SMURF	CIÊNCIA DA COMPUTAÇÃO	6	CCOMVON06A
20845287	PATO DONALD	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20314392	PATTI LABELLE	CIÊNCIA DA COMPUTAÇÃO	8	CCOMVON08A
20853812	PATTI SMITH	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20618148	PAUL RODGERS	CIÊNCIA DA COMPUTAÇÃO	6	CCOMP2N06A
20890491	PEDRITA FLINTSTONE	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20906228	PENELOPE PITSTOP	CIÊNCIA DA COMPUTAÇÃO	2	CCOMP2N02A
20328073	PENNY (INSPETOR BUGIGANGA)	CIÊNCIA DA COMPUTAÇÃO	8	CCOMVON08A
20758760	PEPPER ANN	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20224226	PETER JACKSON	CIÊNCIA DA COMPUTAÇÃO	4	CCOMPAM04A
20467662	PETER POTAMUS	CIÊNCIA DA COMPUTAÇÃO	7	CCOMP2N07A
20629811	PETUNIA PIG	CIÊNCIA DA COMPUTAÇÃO	8	CCOMP2N08A
20442184	PINK PANTHER	CIÊNCIA DA COMPUTAÇÃO	6	CCOMPAM06A
20554047	PIPEYE, PUPEYE, POOPEYE E PEEPEYE	CIÊNCIA DA COMPUTAÇÃO	6	CCOMP2N06A
20500007	PLUCKY DUCK	CIÊNCIA DA COMPUTAÇÃO	1	CCOMP2N01A
20440787	POCAHONTAS	CIÊNCIA DA COMPUTAÇÃO	6	CCOMPAM06A
20653995	POPEYE	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20653610	PORPENTINA SCAMANDER    	CIÊNCIA DA COMPUTAÇÃO	4	CCOMPAM04A
20454163	PURO OSSO	CIÊNCIA DA COMPUTAÇÃO	6	CCOMP2N06A
20723369	RACHAEL RAY	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20869859	RAY RAY LEE	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20667541	RAY ROMANO	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20604501	REGULUS BLACK    	CIÊNCIA DA COMPUTAÇÃO	6	CCOMP2N06A
20684091	REPTIL (MARVEL COMICS)	CIÊNCIA DA COMPUTAÇÃO	4	CCOMP2N04A
20370923	RICOCHET RABBIT & DROOP-A-LONG	CIÊNCIA DA COMPUTAÇÃO	8	CCOMVON08A
20756218	RIHANNA	CIÊNCIA DA COMPUTAÇÃO	2	CCOMVON02A
20311674	RIMA	CIÊNCIA DA COMPUTAÇÃO	8	CCOMVON08A
20548782	ROBB STARK	CIÊNCIA DA COMPUTAÇÃO	6	CCOMVON06A
20876993	ROBERT BARATHEON	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20883036	ROBERT DOWNEY JR	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
20680332	RODRIK CASSEL	CIÊNCIA DA COMPUTAÇÃO	4	CCOMPAM04A
20373356	"ROGER ""RACE"" BANNON"	CIÊNCIA DA COMPUTAÇÃO	8	CCOMVON08A
20621695	ROGER DALTREY	CIÊNCIA DA COMPUTAÇÃO	6	CCOMP2N06A
20656776	RONNIE SPECTOR	CIÊNCIA DA COMPUTAÇÃO	4	CCOMPAM04A
20879993	ROSLIN FREY	CIÊNCIA DA COMPUTAÇÃO	2	CCOMPAM02A
